Fuel,Sector,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Economy
7.05 Kerosene type jet fuel,15. Transport sector,38.979108,40.863168,42.244812,40.946904,40.905036,41.826132,45.091836,47.017764,50.367204,49.655448,39.6939999132,50.7299985936,55.40250088800001,57.9834998028,60.74250051960001,70.621497954,77.11849883160001,80.4115007676,71.33350097520001,70.1764997292,74.4929984196,82.0135002384,74.9380008312,67.7290011192,54.0230005296,52.777000476,73.5139989756,77.0740015212,86.374500426,97.7220012132,99.635498604,110.3676528348,114.6172255272,122.4228358656,124.3943204364,124.5127357008,129.1331248956,127.5502172328,131.3242615548,121.9854450564,0.0,01_AUS
7.06 Kerosene,15. Transport sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004161679200000001,0.0,0.004073756400000001,0.0058363992,0.006263452800000001,0.006091794,0.0050618412,0.0145868112,0.0152734464,0.0,01_AUS
7.07 Gas/diesel oil,15. Transport sector,136.364076,140.927688,148.254588,147.626568,163.201464,178.022736,182.000196,192.132252,199.207944,209.298132,214.8318004392,206.8656012,211.0829983344,217.5155978544,224.6298000408,232.3403993268,251.0844014772,262.245598038,268.9764023880001,280.9469994984,291.4692024564,294.6641955912,308.0405987244,312.1302021624,328.531204044,350.1720028728,356.2211961828001,390.3437962152,412.1124013008,407.6820007164001,439.1207991468,455.3986923612001,473.209699626,492.3331891416,509.114817198,537.6015196956,558.1256445360001,578.05567083,611.9268032808001,646.8815549340001,0.0,01_AUS
7.08 Fuel oil,15. Transport sector,31.694076,33.4944,27.256068,27.465408,26.460576,22.901796,24.70212,24.115968,24.534648,22.022568,18.7439979636,15.3360013788,14.8248014724,12.1836005604,9.7553989116,14.100598116,14.4840001392,13.5468017064,10.266598818,7.625402092800001,7.667998596,10.223998128,7.667998596,7.1567986896,7.753199976,7.029000806400001,6.389998830000001,6.9864001164,6.6455987832,5.964000303600001,6.475200210000001,5.762246785200001,4.301664858000001,1.9990044072,1.9888262964,2.217203676,2.5188500556,2.2786324056,2.3312814156,5.812768900799999,0.0,01_AUS
7.09 LPG,15. Transport sector,3.684384,5.149764,6.112728000000001,7.11756,8.331732,9.587772000000001,11.890512,13.272156,15.365556,17.458956,19.318502286,21.6558001332,31.8158993196,36.061201476,41.975998506,49.46489835840001,53.99640178920001,58.0031986968,62.343901278,63.87029970120001,65.1582012492,66.875400522,63.25020112680001,64.8719999748,63.5840984268,58.0985991216,74.1257993124,59.33880045720001,57.04919863560001,42.2621997804,52.56540379080001,50.7839496984,49.90989658320001,49.74933699,50.3620416756,49.32041607719999,43.0475806584,32.9085159552,19.6814057364,15.5025020412,0.0,01_AUS
7.1 Refinery gas (not liquefied),15. Transport sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01_AUS
7.11 Ethane,15. Transport sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01_AUS
7.12 White spirit SBP,15. Transport sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01_AUS
7.13 Lubricants,15. Transport sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1286980452,0.1286980452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01_AUS
7.14 Bitumen,15. Transport sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01_AUS
